EID,Sex,Age,EHQ_Total,Commercial_Use,Full_Pheno
NDARJK487UCN,0,9.942276,83.34,Yes,Yes
NDARFW670TY2,0,8.792835,80,Yes,Yes
NDARHU395FP0,0,7.407027,76.67,Yes,Yes
NDARHV885JFU,0,8.893794,44.47,Yes,Yes
NDARCP753UEW,0,8.135295,100,Yes,Yes
NDARCW058DP8,0,10.262719,80,Yes,Yes
NDARPE623MBW,0,7.237166,80,Yes,Yes
NDARPM172XGD,0,7.57723,100,Yes,Yes
NDARJW888AJ2,0,12.154916,-73.34,Yes,Yes
NDARFJ031UJJ,1,8.220625,-30,Yes,Yes
NDARNC148NJ1,1,14.796714,-61.14,Yes,Yes
NDARFM870UHU,1,8.283253,100,Yes,Yes
NDARGY058YX2,1,7.130846,36.67,Yes,Yes
NDARBM348NAN,0,15.144193,53.34,Yes,Yes
NDARHB452LTW,0,7.204312,43.35,Yes,Yes
NDARLR168NP5,1,8.41216,73.34,Yes,Yes
NDARNC405WJA,0,6.101528,100,Yes,Yes
NDARFE868RRJ,1,6.690166,93.34,Yes,Yes
NDARFZ477RC8,1,8.691535,53.34,Yes,Yes
NDARTH065GZ0,1,11.856376,100,Yes,Yes
NDARNA432BV0,0,9.655258,100,Yes,Yes
NDARET671FTC,1,8.507643,20,Yes,Yes
NDARKF108LAN,0,9.731348,100,Yes,Yes
NDARMM998PCZ,1,6.782797,-6.67,Yes,Yes
NDARVP799KGY,0,8.450262,66.67,Yes,Yes
NDAREU890CYJ,0,16.423226,73.34,Yes,Yes
NDARGE643MYU,0,8.921058,100,Yes,Yes
NDARWA276AW0,1,10.262605,-50,Yes,Yes
NDARFX879UEY,1,17.069358,73.34,Yes,Yes
NDARVG246LT7,0,18.575176,92.27,Yes,Yes
NDARCB620LXQ,1,7.911362,51.14,Yes,Yes
NDARHH727MX4,0,11.152977,60,Yes,Yes
NDARDY934WXW,1,9.337097,84.47,Yes,Yes
NDARPB967KU7,0,10.06548,60,Yes,Yes
NDARKM876ZHK,1,9.74287,77.8,Yes,Yes
NDARPU049CJ7,0,7.844969,53.34,Yes,Yes
NDARHR448DEV,0,10.057837,-60,Yes,Yes
NDARDP740CLE,0,7.484143,60,Yes,Yes
NDARNL765BBR,0,13.975587,80,Yes,Yes
NDARRD460FZE,1,8.105065,86.67,Yes,Yes
NDARFW825JBT,1,8.332648,73.34,Yes,Yes
NDARYD201BJ5,0,6.769107,93.34,Yes,Yes
NDARJU056AA1,0,7.672826,100,Yes,Yes
NDARLM401GXQ,0,5.79717,73.34,Yes,Yes
NDARBU718PDH,0,10.451745,100,Yes,Yes
NDARFM327MGW,0,6.150353,93.34,Yes,Yes
NDARBU451LDR,0,17.176135,86.67,Yes,Yes
NDARAH129BMC,0,6.561601,86.67,Yes,Yes
NDARTB173LY2,1,7.601528,76.67,Yes,Yes
NDARAK770XEW,0,20.327173,100,Yes,Yes
NDARYB492NFW,0,7.829226,100,Yes,Yes
NDARZY502FAG,1,18.448665,60,Yes,Yes
NDARDE355JYM,0,8.072553,-33.35,Yes,Yes
NDARUD637TU2,0,9.992128,81.14,Yes,Yes
NDARWM929URT,1,9.556354,93.34,Yes,Yes
NDARNF803DXP,1,10.588295,-66.67,Yes,Yes
NDARVG675EJ0,0,9.121149,100,Yes,Yes
NDARTC888FYZ,0,10.314624,40,Yes,Yes
NDARKM388MHN,1,12.598334,-96.67,Yes,Yes
NDARLH365ZUD,1,7.382956,100,Yes,Yes
NDARLP425JYL,0,10.670431,73.34,Yes,Yes
NDARMH180XE5,0,8.863563,-60,Yes,Yes
NDARXF711XE8,0,9.285535,80,Yes,Yes
NDARJU177TCU,0,14.363791,66.67,Yes,Yes
NDARJH159UD4,0,10.259753,46.67,Yes,Yes
NDARAY006MJB,0,9.287816,16.68,Yes,Yes
NDARMV198XGY,1,9.646817,87.8,Yes,Yes
NDARNM722GA4,0,13.895619,20,Yes,Yes
NDARWW790AKX,0,11.127766,40,Yes,Yes
NDARNC261HDT,1,9.687656,66.67,Yes,Yes
NDARMP309VBG,0,14.00308,62.27,Yes,Yes
NDARXW976KCR,0,20.15503,-81.14,Yes,Yes
NDAREX531PXT,0,10.227127,76.67,Yes,Yes
NDARXF223XK6,1,8.781314,86.67,Yes,Yes
NDARNK887LAG,1,7.015514,86.67,Yes,Yes
NDARJJ350GCA,0,8.63655,93.34,Yes,Yes
NDARLR326CBQ,1,8.981405,80,Yes,Yes
NDARGR499GKJ,1,9.668377,54.47,Yes,Yes
NDARXW693MLG,0,6.870978,97.8,Yes,Yes
NDARHE877ZD1,0,8.86402,93.34,Yes,Yes
NDARCM639ZNA,0,8.165754,13.34,Yes,Yes
NDARRG687BKZ,1,10.216518,100,Yes,Yes
NDARVE086HX4,1,14.530914,93.34,Yes,Yes
NDARUN771DPA,0,11.372005,93.34,Yes,Yes
NDARGM638CCA,1,10.298197,66.67,Yes,Yes
NDARHM294VK2,1,7.242642,-90,Yes,Yes
NDARCB062WP0,0,8.461441,50,Yes,Yes
NDARAR335FZH,1,16.403604,96.67,Yes,Yes
NDARDD820LG7,1,8.582135,63.34,Yes,Yes
NDARBY936ZRP,0,11.941364,60,Yes,Yes
NDARGL211HB3,1,11.801733,100,Yes,Yes
NDARBD050LT3,1,11.6402,-26.68,Yes,Yes
NDARHD694XLC,1,7.464522,-100,Yes,Yes
NDARYV654UGB,0,7.207734,93.34,Yes,Yes
NDARAR991JAA,0,8.505361,26.68,Yes,Yes
NDARWV091RWT,0,6.838124,83.34,Yes,Yes
NDARWX418UXX,0,6.054414,73.34,Yes,Yes
NDARCJ108KNZ,0,11.442619,-93.34,Yes,Yes
NDARHG525ZK8,1,13.994752,73.34,Yes,Yes
NDARTC944BJY,1,8.962012,100,Yes,Yes
NDARHR621FJB,0,6.200091,56.67,Yes,Yes
NDARZR480CR5,1,7.130504,-66.67,Yes,Yes
NDARCA851LUG,1,10.977754,100,Yes,Yes
NDARAV474ADJ,0,6.564339,60,Yes,Yes
NDARHD100UMG,0,8.979123,100,Yes,Yes
NDARGB467PK5,0,6.86516,84.47,Yes,Yes
NDARNJ885TY4,0,9.129591,100,Yes,Yes
NDARVV316WML,1,7.787474,60,Yes,Yes
NDARTM826GNP,1,17.671343,40,Yes,Yes
NDARYC834ML4,0,5.447182,90,Yes,Yes
NDARPE424GZZ,0,20.469883,95.6,Yes,Yes
NDAREZ100VPB,1,9.92642,-63.34,Yes,Yes
NDARKJ743AE4,0,11.202144,97.8,Yes,Yes
NDARZX667AT5,0,7.12788,100,Yes,Yes
NDARYC210GUC,0,9.359571,100,Yes,Yes
NDARXW455MJ1,0,10.766484,96.67,Yes,Yes
NDARPV502DZ2,1,8.266826,76.67,Yes,Yes
NDARAE540FCG,0,7.486881,86.67,Yes,Yes
NDARLD042RUL,0,13.709901,-53.34,Yes,Yes
NDARRU711AP5,0,12.07221,100,Yes,Yes
NDARCJ014BCH,1,7.421172,81.14,Yes,Yes
NDARYV571RJJ,0,9.814054,-93.34,Yes,Yes
NDARVC874KGR,1,11.327515,93.34,Yes,Yes
NDARRK429WD3,0,5.682181,86.67,Yes,Yes
NDARAE839XXL,0,5.274697,97.8,Yes,Yes
NDARGD919DHK,0,9.43566,-26.68,Yes,Yes
NDARUT136EUY,0,10.736595,63.34,Yes,Yes
NDARCB869VM8,0,6.656856,60,Yes,Yes
NDARVM557ZLF,0,9.32683,93.34,Yes,Yes
NDARMB458AWY,1,7.081336,73.34,Yes,Yes
NDARZZ046HJA,0,9.372689,80,Yes,Yes
NDARTX932KLQ,0,8.072781,-13.34,Yes,Yes
NDARJG581CCK,0,8.901893,64.47,Yes,Yes
NDARBV390UY5,0,13.408852,-6.67,Yes,Yes
NDARML879RJJ,1,11.248345,66.67,Yes,Yes
NDARVM014JEQ,0,8.606091,40,Yes,Yes
NDARWE938FWQ,0,15.259639,44.54,Yes,Yes
NDARKE153NEM,0,11.43201,56.67,Yes,Yes
NDARLK762JFX,1,13.892881,-93.34,Yes,Yes
NDARAY596ZWD,0,7.935546,93.34,Yes,Yes
NDARTH990UEC,0,7.67796,26.68,Yes,Yes
NDARHL237MPV,1,8.433607,67.8,Yes,Yes
NDARAD256AHU,0,7.536162,100,Yes,Yes
NDARET069PKN,0,21.384325,93.34,Yes,Yes
NDARAR372FHB,1,8.196098,80,Yes,Yes
NDARDV122YZN,0,6.541752,-51.14,Yes,Yes
NDARLN610AKZ,0,9.496235,73.34,Yes,Yes
NDARRR485VP8,1,6.219256,46.67,Yes,Yes
NDARRB788TBA,0,10.985854,90,Yes,Yes
NDARDY671RL8,1,7.795801,-66.67,Yes,Yes
NDARKB516BEW,0,11.527378,100,Yes,Yes
NDARLV704BPE,1,15.13039,-100,Yes,Yes
NDARCT531TC0,1,10.054985,-100,Yes,Yes
NDARKL694YEM,0,13.310175,86.67,Yes,Yes
NDARAF628ND6,0,5.359114,-6.67,Yes,Yes
NDARGH629CW0,1,6.908738,60,Yes,Yes
NDARNE098NPR,1,8.674423,55.67,Yes,Yes
NDARTN793TBY,0,7.670203,53.34,Yes,Yes
NDARNW188JTF,0,9.51848,40,Yes,Yes
NDARFB424ZEF,0,11.532968,-86.67,Yes,Yes
NDARUV288LWA,0,6.435432,73.34,Yes,Yes
NDARZJ681BDQ,1,6.273442,-60,Yes,Yes
NDARNX398YFE,0,12.428131,100,Yes,Yes
NDARTE820LE7,0,8.738078,46.67,Yes,Yes
NDARPR943MYP,0,9.652521,75.6,Yes,Yes
NDARMM594VJT,0,6.421629,33.35,Yes,Yes
